id,title,company_display_name,location_display,location_area,salary_min,salary_max,salary_is_predicted,contract_type,contract_time,category_label,created,description,redirect_url,search_query,search_location
5811069889,Founding Software Engineer,Trunorth Limited,"South East London, London","UK, London, South East London",100000,100000,0,permanent,,IT Jobs,2026-07-22T17:52:19Z,"Founding Software Engineer | AI Agents | San Francisco or London Location: San Francisco, CA or London, UK (London-based candidates must be willing to relocate to San Francisco in 2026) This is a genuine Founding Engineer opportunity to join an Andreessen Horowitz-backed AI startup as Engineer 2/3. Already trusted by Fortune 500 customers including a trillion-dollar enterprise you'll help build enterprise-grade AI agents that solve one of the most challenging problems in business automation: tr…",https://www.adzuna.co.uk/jobs/land/ad/5811069889?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=2C1E61B563850B946606C128CB6A26C4BE913D1C,software engineer,London
5794392860,Software Engineer,TradingHub,"London, UK","UK, London",52176.01,52176.01,1,contract,,IT Jobs,2026-07-09T19:45:34Z,"hackajob is collaborating with TradingHub to connect them with exceptional professionals for this role. Compensation: Competitive (Financial Services) About TradingHub Founded in 2010, TradingHub delivers uniquely intelligent trade surveillance software to world leading financial institutions. Developed by market professionals, our solutions use sophisticated modelling techniques to detect single and cross-product market manipulation. With a team of over 150 experts worldwide, TradingHub combin…",https://www.adzuna.co.uk/jobs/land/ad/5794392860?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=90F2A0A043D4557B5AEE8BF1EDEDFE7DA1BA1BE1,software engineer,London
5789987467,Software Engineer,Gemba Advantage,"London, UK","UK, London",64247.4,64247.4,1,,,IT Jobs,2026-07-06T16:39:16Z,"hackajob is collaborating with Gemba Advantage to connect them with exceptional professionals for this role. Please note: This role requires applicants to be willing and eligible to obtain SC and DV security clearance. This role also requires applicants to be willing to work on-site up to 4 days per week. At Gemba Advantage, we build secure, user-centred digital products for critical public sector organisations across the UK. Our teams work on complex, high-impact systems, the kind that have to…",https://www.adzuna.co.uk/jobs/land/ad/5789987467?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=5963824459D2601B63DC1E9A238BA5ADA084C638,software engineer,London
5809635180,Software Engineer,BAE Systems Digital Intelligence,"London, UK","UK, London",47480.75,47480.75,1,permanent,part_time,IT Jobs,2026-07-21T20:41:21Z,"hackajob is collaborating with BAE Systems Digital Intelligence to connect them with exceptional professionals for this role. Location(s): UK, Europe & Africa : UK : London BAE Systems Digital Intelligence is home to 4,500 digital, cyber and intelligence experts. We work collaboratively across 10 countries to collect, connect and understand complex data, so that governments, nation states, armed forces and commercial businesses can unlock digital advantage in the most demanding environments. . …",https://www.adzuna.co.uk/jobs/land/ad/5809635180?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=95899E7F7C710A27582016AFD119074DEA2426E6,software engineer,London
5809545819,Cyber Software Engineer,Anson Mccade,"London, UK","UK, London",80000,80000,0,permanent,part_time,IT Jobs,2026-07-21T17:55:34Z,"Cyber Software Engineer Locations: London, Manchester and Gloucester Work Model: On Site Salary: £60,000 - £80,000 Package Are you a Software Engineer looking to work on some of the UKs most complex cyber security challenges? This is an opportunity to join a highly skilled Operational Cyber team, developing innovative solutions that support critical national security missions. Youll work alongside experts in high-assurance development, vulnerability research, and cyber operations, applying you…",https://www.adzuna.co.uk/jobs/details/5809545819?utm_medium=api&utm_source=c0698c3f,software engineer,London
5808284300,Senior Software Engineer,Permax Recruitment Limited,"London, UK","UK, London",100000,100000,0,permanent,,IT Jobs,2026-07-20T18:07:46Z,"Senior Software Engineer (Cloud Infrastructure & DevOps) Location: London (Three days in office, two days wfh) Salary: £80,000 to £100,000 Bonus My client is seeking a Senior Software Engineer to lead our cloud infrastructure and DevOps practices within the Developers' Team. They are primarily a Professional Services firm serving customers in the Blockchain space, where technology enables greater efficiency and delivers solutions that arent feasible otherwise. While our team builds data pipeli…",https://www.adzuna.co.uk/jobs/details/5808284300?utm_medium=api&utm_source=c0698c3f,software engineer,London
5789988787,Principal Software Engineer,BAE Critical Skills,"New Malden, South West London","UK, London, South West London, New Malden",51229.63,51229.63,1,,,IT Jobs,2026-07-06T16:39:35Z,"hackajob is collaborating with BAE Critical Skills to connect them with exceptional professionals for this role. Principal Software Engineer Salary: Up to £65,500 (DOE) Location: New Malden. Hybrid 3 days / week on site. We offer a range of hybrid and flexible working arrangements - please speak to your recruiter about the options for this particular role. Who we are Join BAE Systems and you’ll be part of something bigger. As a valued member of our global colleague network, you’ll bring your un…",https://www.adzuna.co.uk/jobs/land/ad/5789988787?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=39EE4BAC1B582E091A53084FEFFB35CCFA8111AF,software engineer,London
5797714587,Lead Software Engineer,Kingfisher,"London, UK","UK, London",74578.91,74578.91,1,,,Engineering Jobs,2026-07-12T07:56:13Z,"hackajob is collaborating with Kingfisher to connect them with exceptional professionals for this role. About us We’re Kingfisher, A team made up of over 74,000 passionate people who bring Kingfisher - and all our other brands: B&Q, Screwfix, Brico Depot, Castorama and Koctas to life. Guided by our purpose Better Homes. Better Lives. For Everyone. We believe a better world starts with better homes, and we work every day to make that a reality. Join us and help shape the future of home improveme…",https://www.adzuna.co.uk/jobs/land/ad/5797714587?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=29BF4FC695270C6A406188C6B4443A004C01D801,software engineer,London
5789988654,Senior Software Engineer,Barclays,"London, UK","UK, London",61645.75,61645.75,1,,,IT Jobs,2026-07-06T16:39:34Z,"hackajob is collaborating with Barclays to connect them with exceptional professionals for this role. Join Barclays as a Senior Software Engineer, where you will design and build scalable C# (.NET/.NET Core) and Python-based calculation engines to drive efficiency and enable dynamic client billing. You will develop robust data models in SQL Server, implement complex business logic, and deliver low-latency REST APIs and React-based user interfaces for internal teams. Leveraging Python for analyt…",https://www.adzuna.co.uk/jobs/land/ad/5789988654?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=6D207901EE468B330A372890DA6A27D6834A08F4,software engineer,London
5789988925,Principal Software Engineer,loveholidays,"London, UK","UK, London",60414.97,60414.97,1,,,IT Jobs,2026-07-06T16:39:37Z,"hackajob is collaborating with loveholidays to connect them with exceptional professionals for this role. Why Technology at loveholidays? At loveholidays - we trailblaze together . We’re on a mission to open the world to everyone, giving our customers’ unlimited choice, unmatched ease and unmissable value for their next getaway. Our team is the driving force behind our role as our customers’ personal holiday expert - the smart way to get away. Technology at loveholidays underpins our vision to …",https://www.adzuna.co.uk/jobs/land/ad/5789988925?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=D28B8C66C2176517F12FFFB33CC965DDBB4C569D,software engineer,London
5789989454,Software Engineer (Market Data),TradingHub,"London, UK","UK, London",60673.7,60673.7,1,contract,,IT Jobs,2026-07-06T16:39:42Z,"hackajob is collaborating with TradingHub to connect them with exceptional professionals for this role. Compensation: Competitive (Financial Services) About TradingHub Founded in 2010, TradingHub delivers uniquely intelligent trade surveillance software to world leading financial institutions. Developed by market professionals, our solutions use sophisticated modelling techniques to detect single and cross-product market manipulation. With a team of over 150 experts worldwide, TradingHub combin…",https://www.adzuna.co.uk/jobs/land/ad/5789989454?se=fGE_jQ6G8RGJg-uPs_L7lA&utm_medium=api&utm_source=c0698c3f&v=E3625F3B63AA7C662D6B565FBD2D1C4EECA9FBA4,software engineer,London
